version,run,trialNumber,stim,respond
A,3,1,W,1
A,3,2,Q,1
A,3,3,P,1
A,3,4,R,1
A,3,5,Z,1
A,3,6,H,1
A,3,7,T,1
A,3,8,V,1
A,3,9,G,1
A,3,10,N,1
A,3,11,T,1
A,3,12,J,1
A,3,13,D,0
A,3,14,H,1
A,3,15,Z,1
A,3,16,W,1
A,3,17,Y,1
A,3,18,N,1
A,3,19,Q,1
A,3,20,H,1
A,3,21,V,1
A,3,22,L,1
A,3,23,G,1
A,3,24,S,1
A,3,25,K,0
A,3,26,B,1
A,3,27,N,1
A,3,28,Q,1
A,3,29,C,0
A,3,30,V,1
A,3,31,F,1
A,3,32,L,1
A,3,33,C,0
A,3,34,G,1
A,3,35,J,1
A,3,36,R,1
A,3,37,L,1
A,3,38,F,1
A,3,39,G,1
A,3,40,S,1
A,3,41,X,0
A,3,42,P,1
A,3,43,S,1
A,3,44,H,1
A,3,45,L,1
A,3,46,Q,1
A,3,47,W,1
A,3,48,G,1
A,3,49,D,0
A,3,50,V,1
A,3,51,T,1
A,3,52,S,1
A,3,53,Q,1
A,3,54,W,1
A,3,55,J,1
A,3,56,B,1
A,3,57,M,0
A,3,58,G,1
A,3,59,R,1
A,3,60,H,1
